$Procedure 1						
Step 	Expected Time	text	caution	warning	holograms	images
17	0	Insert the green 220 volt lead into the left green buss opening and gently tighten the thumbscrew.	DO NOT over tighten the thumbscrew		BusBars	2.17
18	0	Insert the black 220 volt lead into the left black buss opening and gently tighten the thumbscrew.	DO NOT over tighten the thumbscrew		BusBars	2.18
19	0	Make sure the metal leads are not sticking out the back of the buss bars.			BusBars	
20	0	Locate the wrench in the storage area. Use this to gently tighten the buss bars.			ToolArea	
21	0	Conduct a Gentle pull test on each cable.			BusBars	
22	0	In the storage area locate the 110 vold plug.			ToolArea	2.21
23	0	"Locate the power in box, and install the 110 volt plug in the top plug."	Lift cover with one hand while installing PLUG into the outlet with the other. The lid is spring-loaded		PowerBox	2.21
24	0	Insert the white 100 volt lead into the right white buss opening and gently tighten the thumbscrew.	DO NOT over tighten the thumbscrew		BusBars	2.22
25	0	Insert the green 110 volt lead into the right green buss opening and gently tighten the thumbscrew.	DO NOT over tighten the thumbscrew		BusBars	2.23
26	0	Insert the black 110 volt lead into the right black buss opening and gently tighten the thumbscrew.	DO NOT over tighten the thumbscrew		BusBars	2.24
27	0	Make sure the metal leads are not sticking out the back of the buss bars.			BusBars	
28	0	Locate the wrench in the storage area. Use this to gently tighten the buss bars.			ToolArea	
29	0	Conduct a gental pull test on each cable.			BusBars	
30	0	"In the storage area, locate the E-STOP key."			ToolArea	2.25
31	0	"Inser the key into the E-stop, and turn it to the on position."			E-Stop	2.26
32	0	Remove the key and place it in storage.			ToolArea	
33	0	"Locate the auxiliary power switch on the power in box, and switch it to the “ON” position."			PowerBox	2.28
34	0	Procedure complete. Say Next Procedure to continue.				
